 nlayers, height, LOG10C01, LOG10C02, LOG10T01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  2, 42.06,  5.643192e-01, -2.883742e+00,  9.628778e-01,  6.955897e+02,  9.465938e+02,  7.477099e+02,  5.952181e+02,  4.730931e+02,  3.744781e+02,  2.953790e+02,  2.342113e+02,  1.886824e+02,  1.565471e+02,  1.336139e+02,  1.157516e+02,  1.000851e+02,  8.479359e+01,  6.956111e+01,  5.495930e+01,  4.150141e+01,  2.979909e+01
  2, 34.55,  1.053724e-01, -2.921338e+00,  1.061178e+00,  3.173629e+03,  3.064893e+03,  2.388235e+03,  1.884257e+03,  1.491561e+03,  1.193227e+03,  9.742537e+02,  8.146992e+02,  6.887543e+02,  5.790693e+02,  4.750956e+02,  3.752342e+02,  2.845735e+02,  2.058790e+02,  1.413207e+02,  9.205783e+01,  5.654925e+01,  3.269756e+01
  2, 38.84, -3.238068e-01, -2.774101e+00,  1.142878e+00,  3.458528e+03,  3.019998e+03,  2.320482e+03,  1.832832e+03,  1.482415e+03,  1.224273e+03,  1.015469e+03,  8.311709e+02,  6.609785e+02,  5.074130e+02,  3.723727e+02,  2.591444e+02,  1.716805e+02,  1.078198e+02,  6.395565e+01,  3.599773e+01,  1.913311e+01,  9.610865e+00
  2, 33.76, -2.836591e+00, -9.228608e-01,  1.421137e+00,  1.585176e+03,  1.132887e+03,  8.293387e+02,  6.204791e+02,  4.634028e+02,  3.443404e+02,  2.540142e+02,  1.861817e+02,  1.348558e+02,  9.646367e+01,  6.760354e+01,  4.615077e+01,  3.087951e+01,  2.018365e+01,  1.284722e+01,  7.991176e+00,  4.832735e+00,  2.840356e+00
  2, 38.62, -2.398970e+00,  6.376418e-01,  1.599698e+00,  1.138364e+03,  2.473199e+02,  9.714472e+01,  6.798050e+01,  5.281983e+01,  4.189383e+01,  3.347255e+01,  2.686753e+01,  2.154318e+01,  1.722822e+01,  1.365649e+01,  1.068550e+01,  8.281773e+00,  6.339721e+00,  4.782569e+00,  3.561111e+00,  2.607941e+00,  1.877594e+00
  2, 46.16, -5.154134e-01, -3.342258e+00,  1.297675e+00,  2.282110e+03,  1.959884e+03,  1.490511e+03,  1.154088e+03,  9.046211e+02,  7.226479e+02,  5.858522e+02,  4.754453e+02,  3.787384e+02,  2.928204e+02,  2.170422e+02,  1.528785e+02,  1.026752e+02,  6.546426e+01,  3.947154e+01,  2.259763e+01,  1.222085e+01,  6.245093e+00
  2, 49.30,  6.848728e-01, -2.448135e+00,  7.494702e-01,  2.278451e+02,  4.391141e+02,  3.433289e+02,  2.695705e+02,  2.125270e+02,  1.707301e+02,  1.425259e+02,  1.247732e+02,  1.129991e+02,  1.036822e+02,  9.449489e+01,  8.447542e+01,  7.373256e+01,  6.245005e+01,  5.103442e+01,  4.009600e+01,  3.005856e+01,  2.138673e+01
  2, 45.47, -2.085965e+00, -1.819425e+00,  1.225687e+00,  2.950233e+03,  1.699843e+03,  1.015961e+03,  6.334149e+02,  3.960359e+02,  2.475499e+02,  1.543413e+02,  9.630488e+01,  5.972187e+01,  3.681450e+01,  2.233732e+01,  1.325020e+01,  7.757818e+00,  4.468554e+00,  2.522296e+00,  1.402108e+00,  7.627989e-01,  4.059286e-01
  2, 41.07, -1.500517e+00,  6.428020e-01,  1.180648e+00,  2.149071e+03,  8.724687e+02,  4.041179e+02,  2.633082e+02,  1.964246e+02,  1.528031e+02,  1.205860e+02,  9.589567e+01,  7.629453e+01,  6.058632e+01,  4.769959e+01,  3.706165e+01,  2.851355e+01,  2.165202e+01,  1.618629e+01,  1.192854e+01,  8.631441e+00,  6.127276e+00
  2, 47.98, -3.784344e+00,  6.688782e-01,  9.800021e-01,  1.317485e+02,  2.789045e+02,  2.243414e+02,  1.817689e+02,  1.476453e+02,  1.199869e+02,  9.742243e+01,  7.905501e+01,  6.386263e+01,  5.132133e+01,  4.079962e+01,  3.196129e+01,  2.476110e+01,  1.891735e+01,  1.422041e+01,  1.053372e+01,  7.660188e+00,  5.464936e+00
