 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10C04, LOG10C05, LOG10T01, LOG10T02, LOG10T03, LOG10T04, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  5, 41.95, -9.721590e-01, -3.666026e+00,  4.955609e-01, -3.466992e+00, -3.979748e+00,  1.519629e+00,  1.807297e+00,  1.279401e+00,  1.836316e+00,  4.459488e+03,  3.374279e+03,  2.405888e+03,  1.748264e+03,  1.279411e+03,  9.448146e+02,  6.976835e+02,  5.081905e+02,  3.584277e+02,  2.427045e+02,  1.556221e+02,  9.339917e+01,  5.268801e+01,  2.771930e+01,  1.346999e+01,  6.062499e+00,  2.512563e+00,  9.823006e-01
  5, 46.38, -3.166395e+00, -3.465047e+00, -1.869470e+00,  3.823228e-01, -9.522406e-01,  7.385557e-01,  1.993123e+00,  1.442512e+00,  1.759688e+00,  2.523946e+02,  6.135759e+01,  2.211795e+01,  9.109783e+00,  4.562469e+00,  2.930496e+00,  2.151358e+00,  1.659084e+00,  1.298628e+00,  1.022158e+00,  8.016168e-01,  6.229377e-01,  4.811289e-01,  3.681374e-01,  2.784309e-01,  2.085149e-01,  1.541084e-01,  1.123148e-01
  5, 36.32, -3.470495e+00, -3.724578e+00,  1.298784e-01, -3.640348e+00, -1.626742e+00,  9.215173e-01,  8.173662e-01,  8.065575e-01,  1.030060e+00,  6.719941e+02,  7.469366e+02,  6.116946e+02,  5.279386e+02,  4.719596e+02,  4.270590e+02,  3.836114e+02,  3.387235e+02,  2.919349e+02,  2.446752e+02,  1.978062e+02,  1.530233e+02,  1.132809e+02,  7.977157e+01,  5.316472e+01,  3.357645e+01,  1.998478e+01,  1.120639e+01
  5, 41.82, -2.692011e+00, -2.904409e+00, -3.033244e+00, -2.511276e+00,  4.209906e-01,  1.176689e+00,  7.460421e-01,  1.079506e+00,  1.804162e+00,  1.365654e+03,  4.381392e+02,  1.391292e+02,  4.551738e+01,  1.674109e+01,  8.482268e+00,  5.685990e+00,  4.297333e+00,  3.351460e+00,  2.634986e+00,  2.064313e+00,  1.601956e+00,  1.234932e+00,  9.424531e-01,  7.102369e-01,  5.293279e-01,  3.887598e-01,  2.812777e-01
  5, 39.47, -1.590728e+00, -2.992881e+00,  3.406198e-01, -3.222263e+00, -2.655648e+00,  7.041864e-01,  1.266538e+00,  1.199189e+00,  1.989642e+00,  2.202797e+03,  6.626028e+02,  2.976812e+02,  2.066321e+02,  1.579257e+02,  1.229203e+02,  9.591289e+01,  7.471762e+01,  5.774281e+01,  4.437864e+01,  3.410423e+01,  2.661435e+01,  2.149549e+01,  1.787180e+01,  1.498108e+01,  1.239507e+01,  9.940837e+00,  7.654379e+00
  5, 35.26, -3.034058e+00, -3.554672e+00, -3.347118e+00,  3.674946e-01, -1.967439e-01,  1.832046e+00,  1.820427e+00,  9.908052e-01,  1.593268e+00,  9.155093e+02,  1.817922e+02,  3.852875e+01,  1.034542e+01,  4.112372e+00,  2.565527e+00,  1.934667e+00,  1.528293e+00,  1.216696e+00,  9.693794e-01,  7.672435e-01,  6.004502e-01,  4.660785e-01,  3.575890e-01,  2.702405e-01,  2.010642e-01,  1.462572e-01,  1.036548e-01
  5, 36.00, -3.862639e-01, -1.020698e-01, -2.754873e-01, -1.132471e+00, -3.326292e+00,  1.897933e+00,  1.249492e+00,  8.663443e-01,  7.944480e-01,  4.806915e+03,  4.075755e+03,  3.087553e+03,  2.368223e+03,  1.810340e+03,  1.375865e+03,  1.037780e+03,  7.774798e+02,  5.755828e+02,  4.207588e+02,  3.014036e+02,  2.103876e+02,  1.439155e+02,  9.615728e+01,  6.255705e+01,  3.971882e+01,  2.443160e+01,  1.449842e+01
  5, 41.40, -3.351184e+00, -3.432885e+00, -2.214042e+00,  6.765660e-01, -2.351554e+00,  1.879690e+00,  1.309915e+00,  1.042929e+00,  1.029809e+00,  2.051240e+02,  1.999400e+01,  6.534087e+00,  4.720826e+00,  3.623997e+00,  2.793922e+00,  2.140323e+00,  1.618734e+00,  1.193844e+00,  8.542234e-01,  5.920186e-01,  4.065822e-01,  2.935796e-01,  2.329856e-01,  2.024967e-01,  1.848790e-01,  1.701582e-01,  1.547141e-01
  5, 33.19, -1.368316e+00, -3.089389e+00, -3.537303e+00, -2.589061e+00, -2.913073e+00,  1.487244e+00,  1.321140e+00,  1.907567e+00,  1.260854e+00,  9.597470e+03,  6.349514e+03,  4.204349e+03,  2.848050e+03,  1.882402e+03,  1.198593e+03,  7.333835e+02,  4.340701e+02,  2.475609e+02,  1.365352e+02,  7.217375e+01,  3.633183e+01,  1.768854e+01,  8.332191e+00,  3.789325e+00,  1.683108e+00,  7.268456e-01,  3.062163e-01
  5, 42.23, -3.642103e+00, -3.881910e+00, -3.372079e+00, -3.304777e+00, -1.762768e+00,  1.233509e+00,  1.712910e+00,  1.465647e+00,  9.842484e-01,  1.800670e+02,  8.823338e+01,  6.200685e+01,  4.550659e+01,  3.342702e+01,  2.446393e+01,  1.778925e+01,  1.286219e+01,  9.194276e+00,  6.493359e+00,  4.493989e+00,  3.030086e+00,  2.003320e+00,  1.294437e+00,  8.148416e-01,  5.015436e-01,  3.002906e-01,  1.748223e-01
