 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10C04, LOG10T01, LOG10T02, LOG10T03, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  4, 35.09,  1.838625e-01, -3.131038e+00, -2.819170e+00, -1.847704e+00,  9.705122e-01,  1.315703e+00,  1.789922e+00,  2.688750e+03,  2.683890e+03,  2.097828e+03,  1.664657e+03,  1.336836e+03,  1.098953e+03,  9.292968e+02,  8.016661e+02,  6.915027e+02,  5.869986e+02,  4.833093e+02,  3.820804e+02,  2.897175e+02,  2.093972e+02,  1.434682e+02,  9.319164e+01,  5.702401e+01,  3.281153e+01
  4, 31.41, -3.448069e+00, -1.222154e+00, -2.457749e+00, -3.013974e+00,  8.617482e-01,  1.765878e+00,  1.976891e+00,  6.259121e+03,  4.349962e+03,  2.914098e+03,  1.984631e+03,  1.343669e+03,  9.063645e+02,  6.117353e+02,  4.154181e+02,  2.811817e+02,  1.880996e+02,  1.221749e+02,  7.603837e+01,  4.556274e+01,  2.617595e+01,  1.436517e+01,  7.576385e+00,  3.819062e+00,  1.840749e+00
  4, 44.51, -1.888990e+00, -9.289473e-01, -3.779650e+00, -3.201621e+00,  1.101249e+00,  1.631576e+00,  1.616360e+00,  2.228694e+03,  1.534189e+03,  1.083704e+03,  7.929559e+02,  5.817987e+02,  4.268581e+02,  3.141682e+02,  2.336812e+02,  1.748133e+02,  1.303683e+02,  9.503812e+01,  6.660915e+01,  4.481870e+01,  2.876735e+01,  1.753684e+01,  1.019039e+01,  5.613647e+00,  2.931018e+00
  4, 30.13, -4.187985e-01, -1.472813e-01, -1.504709e+00, -1.471626e+00,  1.837200e+00,  1.426652e+00,  7.032401e-01,  8.830544e+03,  7.213549e+03,  5.375673e+03,  4.055316e+03,  3.044632e+03,  2.269567e+03,  1.676961e+03,  1.229635e+03,  8.901284e+02,  6.358288e+02,  4.446839e+02,  3.027937e+02,  2.020220e+02,  1.316119e+02,  8.336672e+01,  5.139641e+01,  3.057908e+01,  1.751968e+01
  4, 41.84, -2.810591e+00, -7.595036e-01,  6.049943e-01, -2.305156e+00,  9.799066e-01,  1.853253e+00,  1.324569e+00,  2.016745e+03,  1.647303e+03,  1.231350e+03,  9.332446e+02,  7.049408e+02,  5.294713e+02,  3.948246e+02,  2.926931e+02,  2.147090e+02,  1.558298e+02,  1.109929e+02,  7.690046e+01,  5.173790e+01,  3.333370e+01,  2.028461e+01,  1.161212e+01,  6.187232e+00,  3.058457e+00
  4, 38.02, -5.638569e-01, -1.235045e+00, -8.775920e-01, -1.196165e+00,  1.631396e+00,  1.866536e+00,  1.077216e+00,  4.664932e+03,  3.825039e+03,  2.853626e+03,  2.155132e+03,  1.619956e+03,  1.209021e+03,  8.943505e+02,  6.565916e+02,  4.764773e+02,  3.425586e+02,  2.430745e+02,  1.697853e+02,  1.172558e+02,  7.933135e+01,  5.201864e+01,  3.293972e+01,  1.996195e+01,  1.155075e+01
  4, 40.25,  2.828637e-02, -1.573244e+00,  6.911444e-01, -9.740525e-02,  1.537461e+00,  1.395601e+00,  1.975597e+00,  2.042946e+03,  1.997339e+03,  1.565894e+03,  1.242936e+03,  9.864922e+02,  7.810322e+02,  6.157540e+02,  4.834893e+02,  3.762855e+02,  2.898992e+02,  2.195224e+02,  1.625956e+02,  1.185723e+02,  8.532694e+01,  6.084028e+01,  4.315964e+01,  3.011939e+01,  2.037677e+01
  4, 45.29, -1.899538e+00, -2.717054e+00, -3.626322e+00,  2.092415e-02,  8.451356e-01,  9.070130e-01,  1.702645e+00,  2.413176e+03,  6.841098e+02,  1.833480e+02,  6.500965e+01,  3.402066e+01,  2.371699e+01,  1.823721e+01,  1.438850e+01,  1.139663e+01,  9.019425e+00,  7.079669e+00,  5.484756e+00,  4.207401e+00,  3.185153e+00,  2.373132e+00,  1.742459e+00,  1.255599e+00,  8.871343e-01
  4, 36.79, -9.584647e-01,  5.797071e-01, -4.254906e-01, -2.640080e+00,  1.379133e+00,  1.214355e+00,  1.297591e+00,  6.692518e+03,  4.929678e+03,  3.373773e+03,  2.253014e+03,  1.416482e+03,  8.356544e+02,  4.682320e+02,  2.581775e+02,  1.453122e+02,  8.711111e+01,  5.589993e+01,  3.753027e+01,  2.577662e+01,  1.773153e+01,  1.222909e+01,  8.657926e+00,  6.398550e+00,  4.931050e+00
  4, 46.74, -9.074933e-01, -2.116304e+00, -2.261107e+00, -1.498447e+00,  1.725148e+00,  1.236503e+00,  1.952379e+00,  3.022385e+03,  2.369079e+03,  1.724139e+03,  1.270486e+03,  9.305382e+02,  6.760691e+02,  4.869782e+02,  3.494167e+02,  2.497133e+02,  1.784005e+02,  1.262942e+02,  8.748074e+01,  5.903867e+01,  3.835827e+01,  2.379467e+01,  1.411552e+01,  7.960967e+00,  4.267998e+00
