 nlayers, height, LOG10C01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  1, 40.15,  3.309266e-01,  1.340327e+03,  1.494958e+03,  1.186319e+03,  9.524569e+02,  7.657087e+02,  6.150510e+02,  4.928467e+02,  3.940722e+02,  3.130627e+02,  2.468663e+02,  1.920120e+02,  1.466219e+02,  1.103132e+02,  8.148718e+01,  5.891998e+01,  4.175554e+01,  2.886595e+01,  1.944120e+01
  1, 30.41, -2.988287e+00,  1.460563e+03,  4.581963e+02,  1.913134e+02,  9.210271e+01,  4.612724e+01,  2.377439e+01,  1.250300e+01,  6.722585e+00,  3.651981e+00,  2.001048e+00,  1.091462e+00,  5.872784e-01,  3.150421e-01,  1.677728e-01,  8.819759e-02,  4.601295e-02,  2.364245e-02,  1.196168e-02
  1, 45.29, -3.334348e+00,  4.536795e+02,  1.403469e+02,  5.838703e+01,  2.806411e+01,  1.403912e+01,  7.229580e+00,  3.799413e+00,  2.041724e+00,  1.108638e+00,  6.072287e-01,  3.311015e-01,  1.781035e-01,  9.551923e-02,  5.085713e-02,  2.673043e-02,  1.394318e-02,  7.163384e-03,  3.623984e-03
  1, 40.01, -7.238613e-01,  4.458070e+03,  3.551334e+03,  2.610159e+03,  1.942390e+03,  1.437614e+03,  1.055920e+03,  7.684820e+02,  5.549972e+02,  3.956691e+02,  2.783640e+02,  1.917212e+02,  1.285303e+02,  8.444093e+01,  5.419268e+01,  3.387157e+01,  2.069700e+01,  1.230052e+01,  7.107778e+00
  1, 47.78, -1.956766e+00,  3.116450e+03,  1.798056e+03,  1.045912e+03,  6.307630e+02,  3.809045e+02,  2.301131e+02,  1.388653e+02,  8.406095e+01,  5.067829e+01,  3.043619e+01,  1.802426e+01,  1.045079e+01,  5.992386e+00,  3.386444e+00,  1.878261e+00,  1.027627e+00,  5.510045e-01,  2.893625e-01
  1, 30.85, -3.170867e+00,  9.630766e+02,  2.770740e+02,  1.124008e+02,  5.331895e+01,  2.640207e+01,  1.348387e+01,  7.037255e+00,  3.759713e+00,  2.031300e+00,  1.107788e+00,  6.017392e-01,  3.225755e-01,  1.724813e-01,  9.158979e-02,  4.802456e-02,  2.499904e-02,  1.282034e-02,  6.477335e-03
  1, 46.21, -3.366098e+00,  4.144997e+02,  1.272539e+02,  5.280270e+01,  2.534557e+01,  1.266593e+01,  6.516935e+00,  3.422478e+00,  1.838083e+00,  9.975587e-01,  5.461494e-01,  2.976828e-01,  1.600721e-01,  8.582286e-02,  4.568234e-02,  2.400484e-02,  1.251887e-02,  6.430483e-03,  3.252774e-03
  1, 40.06, -3.051776e+00,  9.421706e+02,  3.187672e+02,  1.370631e+02,  6.707295e+01,  3.402354e+01,  1.771954e+01,  9.400680e+00,  5.091888e+00,  2.783712e+00,  1.533692e+00,  8.406106e-01,  4.542773e-01,  2.446308e-01,  1.307177e-01,  6.892704e-02,  3.605462e-02,  1.856872e-02,  9.411809e-03
  1, 41.43, -1.314331e+00,  5.185815e+03,  3.568638e+03,  2.371480e+03,  1.603064e+03,  1.076397e+03,  7.172521e+02,  4.739316e+02,  3.116018e+02,  2.027019e+02,  1.305280e+02,  8.246772e+01,  5.080604e+01,  3.079489e+01,  1.830924e+01,  1.064082e+01,  6.074132e+00,  3.385902e+00,  1.842366e+00
  1, 30.55, -1.990991e+00,  7.764988e+03,  3.859689e+03,  2.022830e+03,  1.125209e+03,  6.331590e+02,  3.594813e+02,  2.052880e+02,  1.183791e+02,  6.833552e+01,  3.947920e+01,  2.257038e+01,  1.267010e+01,  7.056516e+00,  3.884757e+00,  2.104023e+00,  1.126875e+00,  5.926934e-01,  3.059078e-01
  1, 37.33, -9.400906e-01,  6.310786e+03,  4.709019e+03,  3.320739e+03,  2.372968e+03,  1.683806e+03,  1.184421e+03,  8.249753e+02,  5.703648e+02,  3.893373e+02,  2.624414e+02,  1.732441e+02,  1.113410e+02,  7.022109e+01,  4.333070e+01,  2.607716e+01,  1.537404e+01,  8.831555e+00,  4.941488e+00
  1, 48.73, -3.058467e+00,  7.306237e+02,  2.657613e+02,  1.178402e+02,  5.871100e+01,  3.020638e+01,  1.591501e+01,  8.526341e+00,  4.656556e+00,  2.563907e+00,  1.421344e+00,  7.833010e-01,  4.253899e-01,  2.300693e-01,  1.234081e-01,  6.529657e-02,  3.425826e-02,  1.769043e-02,  8.986104e-03
  1, 45.47,  6.973830e-01,  3.911114e+02,  6.445951e+02,  5.171353e+02,  4.185108e+02,  3.394768e+02,  2.754433e+02,  2.232345e+02,  1.807713e+02,  1.456839e+02,  1.167545e+02,  9.252065e+01,  7.220203e+01,  5.568739e+01,  4.232177e+01,  3.161607e+01,  2.324860e+01,  1.676050e+01,  1.183537e+01
  1, 33.04,  6.125546e-01,  1.794486e+03,  2.181179e+03,  1.738072e+03,  1.400335e+03,  1.130197e+03,  9.118296e+02,  7.342752e+02,  5.903433e+02,  4.718851e+02,  3.746830e+02,  2.937293e+02,  2.263351e+02,  1.720309e+02,  1.285431e+02,  9.415092e+01,  6.768168e+01,  4.753351e+01,  3.257291e+01
  1, 31.81, -3.842376e+00,  1.890958e+02,  3.811234e+01,  1.412736e+01,  6.452401e+00,  3.104833e+00,  1.549699e+00,  7.935560e-01,  4.173009e-01,  2.224370e-01,  1.199035e-01,  6.447129e-02,  3.424504e-02,  1.816578e-02,  9.577796e-03,  4.989971e-03,  2.583784e-03,  1.319255e-03,  6.652176e-04
  1, 39.36, -7.468561e-01,  4.779570e+03,  3.775700e+03,  2.761821e+03,  2.045506e+03,  1.506352e+03,  1.100628e+03,  7.966995e+02,  5.722391e+02,  4.057094e+02,  2.838516e+02,  1.944129e+02,  1.296026e+02,  8.467632e+01,  5.405201e+01,  3.360694e+01,  2.043252e+01,  1.208493e+01,  6.951114e+00
  1, 46.25, -1.479175e+00,  3.841522e+03,  2.581010e+03,  1.684284e+03,  1.120127e+03,  7.404567e+02,  4.861387e+02,  3.167535e+02,  2.055723e+02,  1.321147e+02,  8.412064e+01,  5.258776e+01,  3.207500e+01,  1.926280e+01,  1.135561e+01,  6.547766e+00,  3.710840e+00,  2.054872e+00,  1.111328e+00
  1, 31.00, -3.173413e+00,  9.530673e+02,  2.743710e+02,  1.113290e+02,  5.281657e+01,  2.615562e+01,  1.335897e+01,  6.972492e+00,  3.725302e+00,  2.012797e+00,  1.097738e+00,  5.963002e-01,  3.196693e-01,  1.709319e-01,  9.076914e-02,  4.759526e-02,  2.477602e-02,  1.270617e-02,  6.419720e-03
  1, 47.80, -4.111685e-01,  1.823731e+03,  1.621737e+03,  1.247926e+03,  9.724614e+02,  7.563697e+02,  5.857684e+02,  4.508980e+02,  3.451501e+02,  2.614335e+02,  1.957598e+02,  1.438426e+02,  1.031465e+02,  7.252932e+01,  4.983170e+01,  3.334587e+01,  2.178833e+01,  1.383226e+01,  8.525912e+00
