 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10T01, LOG10T02, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  3, 46.39, -3.926405e+00, -1.866477e+00, -2.277817e+00,  1.114312e+00,  1.058042e+00,  2.147742e+03,  1.249975e+03,  7.068082e+02,  4.086633e+02,  2.352366e+02,  1.353024e+02,  7.781667e+01,  4.502531e+01,  2.602219e+01,  1.503159e+01,  8.585655e+00,  4.812942e+00,  2.676244e+00,  1.470867e+00,  7.953206e-01,  4.252830e-01,  2.233480e-01,  1.151103e-01
  3, 30.08, -1.595704e+00, -2.128730e+00, -3.618971e+00,  1.643604e+00,  1.631131e+00,  1.113746e+04,  6.502719e+03,  3.859254e+03,  2.391727e+03,  1.483692e+03,  9.105927e+02,  5.479172e+02,  3.234354e+02,  1.858147e+02,  1.040177e+02,  5.615126e+01,  2.900295e+01,  1.452211e+01,  7.035494e+00,  3.284309e+00,  1.490561e+00,  6.535294e-01,  2.772101e-01
  3, 38.91,  3.737810e-01, -2.949268e+00, -3.627907e+00,  1.838220e+00,  1.561125e+00,  1.415426e+03,  1.595886e+03,  1.267211e+03,  1.017966e+03,  8.188814e+02,  6.582192e+02,  5.278492e+02,  4.224251e+02,  3.359134e+02,  2.651739e+02,  2.065081e+02,  1.579179e+02,  1.190053e+02,  8.807096e+01,  6.381601e+01,  4.533508e+01,  3.142824e+01,  2.123424e+01
  3, 46.52, -1.751716e+00, -1.393812e+00, -2.206335e+00,  1.986970e+00,  1.237383e+00,  3.643803e+03,  2.244831e+03,  1.370922e+03,  8.603289e+02,  5.378344e+02,  3.341678e+02,  2.061944e+02,  1.274855e+02,  7.902939e+01,  4.935511e+01,  3.069937e+01,  1.876069e+01,  1.126532e+01,  6.580627e+00,  3.712307e+00,  2.030527e+00,  1.070706e+00,  5.446491e-01
  3, 47.21,  2.233057e-01, -5.716323e-01, -1.923614e-01,  1.582916e+00,  1.380111e+00,  8.347061e+02,  9.387461e+02,  7.450903e+02,  5.982708e+02,  4.810118e+02,  3.863949e+02,  3.096270e+02,  2.475553e+02,  1.966222e+02,  1.549740e+02,  1.204274e+02,  9.179895e+01,  6.884776e+01,  5.057457e+01,  3.624475e+01,  2.539551e+01,  1.739132e+01,  1.172419e+01
  3, 31.87, -1.896437e+00, -2.026632e+00,  4.635103e-01,  1.466400e+00,  1.597717e+00,  8.030008e+03,  4.143727e+03,  2.100631e+03,  1.041963e+03,  4.797962e+02,  2.070177e+02,  8.633005e+01,  3.786429e+01,  1.911782e+01,  1.165305e+01,  8.088416e+00,  5.926537e+00,  4.421910e+00,  3.296993e+00,  2.438180e+00,  1.787814e+00,  1.293650e+00,  9.226679e-01
  3, 33.23, -1.496922e+00, -5.901532e-01, -2.605708e+00,  1.201199e+00,  1.067740e+00,  6.476214e+03,  3.559334e+03,  2.177392e+03,  1.573403e+03,  1.233849e+03,  9.870104e+02,  7.745242e+02,  5.883128e+02,  4.290961e+02,  3.001812e+02,  1.996782e+02,  1.253970e+02,  7.494251e+01,  4.253448e+01,  2.287362e+01,  1.174689e+01,  5.738323e+00,  2.672496e+00
  3, 40.91,  4.221338e-01, -2.023559e+00, -1.409115e+00,  1.100198e+00,  1.477074e+00,  1.040845e+03,  1.240804e+03,  9.810009e+02,  7.832388e+02,  6.250604e+02,  4.972072e+02,  3.934419e+02,  3.102307e+02,  2.441045e+02,  1.937393e+02,  1.562639e+02,  1.284338e+02,  1.070258e+02,  8.865683e+01,  7.166737e+01,  5.594994e+01,  4.176791e+01,  2.965447e+01
  3, 31.29, -5.571853e-02,  3.460872e-01,  3.131224e-01,  1.751998e+00,  1.918126e+00,  5.522268e+03,  4.973133e+03,  3.842676e+03,  3.006790e+03,  2.349007e+03,  1.827772e+03,  1.413963e+03,  1.087960e+03,  8.285265e+02,  6.238588e+02,  4.610887e+02,  3.326958e+02,  2.354849e+02,  1.629683e+02,  1.099725e+02,  7.255202e+01,  4.652362e+01,  2.889635e+01
  3, 43.57,  2.102672e-01, -4.295558e-01, -3.195776e+00,  1.350928e+00,  1.998133e+00,  1.166158e+03,  1.261924e+03,  9.980427e+02,  7.985553e+02,  6.393690e+02,  5.110511e+02,  4.070626e+02,  3.230969e+02,  2.543201e+02,  1.982655e+02,  1.521614e+02,  1.147185e+02,  8.578306e+01,  6.384346e+01,  4.734462e+01,  3.495061e+01,  2.537725e+01,  1.792622e+01
  3, 35.39, -2.184461e+00, -2.744964e+00,  5.448776e-01,  1.692126e+00,  7.835230e-01,  4.052480e+03,  1.492349e+03,  5.033105e+02,  1.751359e+02,  6.940602e+01,  3.707282e+01,  2.528485e+01,  1.915598e+01,  1.493195e+01,  1.172673e+01,  9.173190e+00,  7.104740e+00,  5.463694e+00,  4.157194e+00,  3.121308e+00,  2.315757e+00,  1.691341e+00,  1.215360e+00
  3, 32.96, -1.971139e+00, -2.938525e+00,  6.453991e-01,  1.130666e+00,  1.904895e+00,  6.535942e+03,  2.411472e+03,  8.348716e+02,  2.885313e+02,  9.373623e+01,  3.040542e+01,  1.137341e+01,  5.856901e+00,  3.939633e+00,  2.972727e+00,  2.301294e+00,  1.776753e+00,  1.365749e+00,  1.040649e+00,  7.837267e-01,  5.842483e-01,  4.295678e-01,  3.114288e-01
